variant,dataset_id,dataset_label,match_dataset_id,legacy_dataset_id,title,count,win_rate,win_rate_ci95_low,win_rate_ci95_high,avg_delta,avg_objective_delta,avg_ai_delta
after_coverage_floor,201,Match1,1,101,人工智能是否应该拥有法律人格,3,100.0000,43.8494,100.0000,25.036362,40.977486,9.095238
after_coverage_floor,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,30.849132,31.079216,30.619048
after_coverage_floor,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,15.813280,15.531321,16.095238
after_coverage_floor,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,100.0000,43.8494,100.0000,19.497416,22.518642,16.476190
after_coverage_floor,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,19.103639,29.064421,9.142857
after_dimensions,201,Match1,1,101,人工智能是否应该拥有法律人格,3,100.0000,43.8494,100.0000,8.472275,7.896931,9.047619
after_dimensions,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,24.718322,20.103310,29.333333
after_dimensions,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,10.556730,4.827747,16.285714
after_dimensions,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,100.0000,43.8494,100.0000,19.015960,20.889063,17.142857
after_dimensions,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,9.123135,10.389127,7.857143
after_nozws,201,Match1,1,101,人工智能是否应该拥有法律人格,3,33.3333,6.1490,79.2345,-14.045361,-10.090721,-18.000000
after_nozws,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,16.759855,6.138757,27.380952
after_nozws,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,21.068203,24.803072,17.333333
after_nozws,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,66.6667,20.7655,93.8510,1.775320,2.264926,1.285714
after_nozws,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,14.496839,23.327012,5.666667
after_query_anchored_novelty_gap,201,Match1,1,101,人工智能是否应该拥有法律人格,3,100.0000,43.8494,100.0000,17.751643,26.646142,8.857143
after_query_anchored_novelty_gap,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,26.920128,22.840256,31.000000
after_query_anchored_novelty_gap,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,14.274789,12.359102,16.190476
after_query_anchored_novelty_gap,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,100.0000,43.8494,100.0000,22.919268,30.505202,15.333333
after_query_anchored_novelty_gap,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,12.749432,17.022674,8.476190
after_rebuttal,201,Match1,1,101,人工智能是否应该拥有法律人格,3,100.0000,43.8494,100.0000,22.001690,34.955761,9.047619
after_rebuttal,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,25.483247,20.347446,30.619048
after_rebuttal,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,15.519131,15.228738,15.809524
after_rebuttal,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,100.0000,43.8494,100.0000,17.423177,18.846354,16.000000
after_rebuttal,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,9.798748,12.264162,7.333333
after_rebuttal_extended,201,Match1,1,101,人工智能是否应该拥有法律人格,3,100.0000,43.8494,100.0000,9.833030,11.047013,8.619048
after_rebuttal_extended,202,Match2,2,102,基因编辑技术是否应该全面开放,3,100.0000,43.8494,100.0000,23.360537,17.244883,29.476190
after_rebuttal_extended,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,3,100.0000,43.8494,100.0000,6.730257,1.031943,12.428571
after_rebuttal_extended,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,3,100.0000,43.8494,100.0000,25.365396,35.064126,15.666667
after_rebuttal_extended,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,3,100.0000,43.8494,100.0000,17.239904,26.765522,7.714286
