variant,dataset_id,dataset_label,match_dataset_id,legacy_dataset_id,title,count,win_rate,win_rate_ci95_low,win_rate_ci95_high,avg_delta,avg_objective_delta,avg_ai_delta
after_coverage_floor,201,Match1,1,101,人工智能是否应该拥有法律人格,1,100.0000,20.6543,100.0000,22.173607,34.347215,10.000000
after_coverage_floor,202,Match2,2,102,基因编辑技术是否应该全面开放,1,100.0000,20.6543,100.0000,25.362995,22.583133,28.142857
after_coverage_floor,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,1,0.0000,0.0000,79.3457,-20.578466,-13.728360,-27.428571
after_coverage_floor,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,1,100.0000,20.6543,100.0000,17.200262,18.543382,15.857143
after_coverage_floor,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,1,100.0000,20.6543,100.0000,20.969948,29.654181,12.285714
after_nozws,201,Match1,1,101,人工智能是否应该拥有法律人格,1,0.0000,0.0000,79.3457,-5.043806,-13.801898,3.714286
after_nozws,202,Match2,2,102,基因编辑技术是否应该全面开放,1,100.0000,20.6543,100.0000,7.185046,0.941521,13.428571
after_nozws,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,1,100.0000,20.6543,100.0000,12.486003,8.400577,16.571429
after_nozws,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,1,100.0000,20.6543,100.0000,13.442242,14.598769,12.285714
after_nozws,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,1,100.0000,20.6543,100.0000,13.675622,17.494102,9.857143
after_query_anchored_novelty_gap,201,Match1,1,101,人工智能是否应该拥有法律人格,1,100.0000,20.6543,100.0000,15.363282,20.440849,10.285714
after_query_anchored_novelty_gap,202,Match2,2,102,基因编辑技术是否应该全面开放,1,100.0000,20.6543,100.0000,21.889071,15.349570,28.428571
after_query_anchored_novelty_gap,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,1,100.0000,20.6543,100.0000,23.997582,28.423735,19.571429
after_query_anchored_novelty_gap,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,1,100.0000,20.6543,100.0000,17.782955,20.423052,15.142857
after_query_anchored_novelty_gap,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,1,100.0000,20.6543,100.0000,13.098924,15.483562,10.714286
after_rebuttal,201,Match1,1,101,人工智能是否应该拥有法律人格,1,100.0000,20.6543,100.0000,18.818945,29.780747,7.857143
after_rebuttal,202,Match2,2,102,基因编辑技术是否应该全面开放,1,100.0000,20.6543,100.0000,21.029206,15.486984,26.571429
after_rebuttal,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,1,100.0000,20.6543,100.0000,18.407235,17.671614,19.142857
after_rebuttal,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,1,100.0000,20.6543,100.0000,17.338858,18.677716,16.000000
after_rebuttal,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,1,100.0000,20.6543,100.0000,16.135841,19.843110,12.428571
after_simulator_consensus,201,Match1,1,101,人工智能是否应该拥有法律人格,1,100.0000,20.6543,100.0000,19.140959,29.139060,9.142857
after_simulator_consensus,202,Match2,2,102,基因编辑技术是否应该全面开放,1,100.0000,20.6543,100.0000,22.255357,15.939286,28.571429
after_simulator_consensus,203,Match3,3,103,全民基本收入（UBI）是否是未来社会的必需品,1,100.0000,20.6543,100.0000,19.568296,20.136592,19.000000
after_simulator_consensus,204,Match4,4,1,双语教育是否一定能带来超越语言能力的认知控制优势？,1,100.0000,20.6543,100.0000,25.348353,35.839562,14.857143
after_simulator_consensus,205,Match5,5,3,屏幕时间/电子产品使用会不会导致青少年抑郁？,1,100.0000,20.6543,100.0000,12.778685,13.271655,12.285714
